OrderID;CustomerID;EmployeeID;ContactTitle;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
NULL;HANAR;8;Lorem;2015.03.22 10:20;2015.10.15 20:43;2015.06.30 16:22;1;99;diam. Duis mi;P.O. Box 382, 7071 Est. Avenue;Chełm;Lubelskie;80904;Honduras
NULL;HILAA;6;Lorem ipsum dolor;2015.04.28 14:18;2015.10.14 20:21;2015.08.13 16:12;2;34;ante ipsum;1892 Ante Avenue;Valladolid;Castilla y León;6312;Belize
NULL;HUNGC;8;Lorem ipsum dolor;2015.02.03 12:39;2015.08.19 11:12;2015.09.20 14:51;3;81;a mi fringilla mi;Ap #853-5650 Nullam Road;Lublin;Lubelskie;31603;Turkmenistan
NULL;HUNGO;6;Lorem ipsum dolor;2015.03.24 3:21;2015.08.26 6:48;2015.09.27 22:13;2;30;libero. Proin mi. Aliquam;860-9745 Eu Rd.;Piracicaba;SP;8505;Antarctica
NULL;ISLAT;4;Lorem ipsum dolor;2015.04.11 6:09;2015.11.03 20:31;2015.09.17 15:25;3;82;eros;Ap #245-8319 Aliquet Rd.;Istanbul;Ist;64766;Seychelles
NULL;KOENE;9;Lorem ipsum dolor;2015.05.17 3:59;2015.07.27 15:57;2015.09.25 9:05;3;19;Proin sed turpis nec;3674 Montes, Av.;Mission;British Columbia;6144;Azerbaijan
NULL;LACOR;9;Lorem ipsum;2015.02.01 19:25;2015.07.07 5:52;2015.07.13 9:51;1;29;tellus, imperdiet non,;3431 Dictum St.;Bergama;İzm;44841;Myanmar
NULL;LAMAI;9;Lorem ipsum dolor;2015.04.01 2:28;2015.12.09 19:32;2015.07.10 18:35;1;75;dolor;8294 Fermentum St.;Ciudad Real;Castilla - La Mancha;41765-655;Heard Island and Mcdonald Islands
NULL;LAUGB;4;Lorem ipsum dolor;2015.03.02 18:11;2015.08.22 10:02;2015.07.02 0:29;1;22;eros non;502-1026 Magnis Street;Girona;CA;81329;Dominican Republic
NULL;LAZYK;9;Lorem ipsum;2015.06.09 21:48;2015.07.30 9:22;2015.08.14 11:29;1;32;nibh. Quisque nonummy;Ap #530-6037 Consectetuer, Ave;Saint-Sébastien-sur-Loire;Pays de la Loire;75049;India
NULL;LEHMS;5;Lorem ipsum dolor;2015.02.04 22:25;2015.08.12 14:28;2015.09.17 0:28;1;54;bibendum ullamcorper.;744-8418 Sit Rd.;Vetlanda;Jönköpings län;58010;Palestine, State of
NULL;LETSS;9;Lorem ipsum dolor;2015.01.21 14:27;2015.07.14 12:15;2015.08.30 16:20;2;7;lacus. Aliquam;658-5736 Massa St.;Bilbo;Euskadi;43068;Gambia
NULL;LILAS;3;Lorem ipsum;2015.06.12 16:31;2015.07.18 8:45;2015.09.13 7:10;1;96;iaculis odio. Nam;Ap #977-9554 Et St.;Cabo de Hornos;Magallanes y Antártica Chilena;54-218;Vanuatu
NULL;LINOD;7;Lorem;2015.04.15 20:41;2015.10.09 17:03;2015.07.22 21:02;2;95;quam a felis ullamcorper viverra.;Ap #663-1938 Fringilla Road;Iquique;Tarapacá;950358;Mali
NULL;LONEP;6;Lorem ipsum;2015.02.27 2:53;2015.08.08 5:46;2015.07.04 14:29;3;90;lectus. Nullam;P.O. Box 440, 9766 Donec Av.;Panihati;West Bengal;13952;Jamaica
NULL;MAGAA;5;Lorem;2015.06.28 15:39;2015.09.06 21:37;2015.08.15 1:28;1;57;magna a;Ap #923-3803 Eu Rd.;Bauchi;BA;578363;Bouvet Island
NULL;MAISD;8;Lorem;2015.04.05 5:49;2015.09.02 21:22;2015.07.04 2:29;2;64;auctor,;P.O. Box 508, 706 Lorem Road;Lions Bay;British Columbia;4615;Palestine, State of
NULL;MEREP;3;Lorem ipsum dolor;2015.03.14 18:29;2015.09.18 21:41;2015.07.31 5:17;1;13;Cras eget;P.O. Box 993, 1331 Ac Rd.;Shreveport;Louisiana;9450;Chad
NULL;MORGK;1;Lorem ipsum;2015.03.28 10:39;2015.10.04 8:38;2015.08.18 15:56;2;33;adipiscing elit. Aliquam;9571 Tortor Avenue;Minna;NI;8155;Luxembourg
NULL;NORTS;7;Lorem ipsum dolor;2015.03.04 22:52;2015.12.12 21:50;2015.07.18 10:51;2;45;orci luctus et ultrices;P.O. Box 296, 3855 Amet Ave;Giardinello;SIC;309957;Senegal
NULL;OCEAN;8;Lorem;2015.05.10 11:41;2015.10.13 5:27;2015.07.23 13:36;2;41;sollicitudin commodo ipsum. Suspendisse non;Ap #555-3570 Lobortis Rd.;Tiel;Gelderland;19892;Northern Mariana Islands
NULL;OLDWO;7;Lorem;2015.06.10 10:29;2015.12.24 19:56;2015.08.23 15:20;1;39;cursus vestibulum.;4868 In Rd.;Galway;Connacht;2955;Reunion
NULL;OTTIK;5;Lorem;2015.06.07 21:06;2015.10.19 2:07;2015.09.17 23:00;1;81;ullamcorper eu, euismod ac,;Ap #864-6841 Tincidunt, Road;Hamburg;HH;223108;Sweden
NULL;PARIS;1;Lorem ipsum dolor;2015.04.15 1:10;2015.11.01 22:59;2015.09.25 13:11;3;99;est ac facilisis;P.O. Box 288, 1503 Nibh. Street;Minneapolis;Minnesota;525987;Tonga
NULL;PERIC;8;Lorem ipsum;2015.06.22 5:46;2015.09.10 21:13;2015.08.19 15:14;1;47;semper erat,;693-9280 Cursus, Av.;Burcht;Antwerpen;977129;Saint Pierre and Miquelon
NULL;PICCO;5;Lorem ipsum;2015.03.16 23:51;2015.07.29 22:53;2015.08.29 14:48;2;7;Duis;783-4745 Lacinia Avenue;Vienna;Wie;319502;Sierra Leone
NULL;PRINI;4;Lorem ipsum;2015.01.19 23:05;2015.10.06 16:35;2015.07.02 0:08;2;58;massa lobortis ultrices.;P.O. Box 713, 7371 Ac Av.;San José;San José;35058;Honduras
NULL;QUEDE;7;Lorem;2015.01.17 1:39;2015.11.25 1:46;2015.07.23 18:43;1;51;Donec egestas. Aliquam nec;P.O. Box 805, 8215 Purus, St.;Piotrków Trybunalski;łódzkie;75848;Guinea-Bissau
NULL;QUEEN;3;Lorem ipsum;2015.02.10 17:40;2015.08.26 13:00;2015.07.30 1:37;3;90;quis urna. Nunc quis;3328 Ac Street;Södertälje;Stockholms län;8766;Pakistan
NULL;QUICK;9;Lorem ipsum;2015.03.20 13:21;2015.10.29 2:35;2015.08.31 13:26;2;20;nunc interdum feugiat. Sed nec;P.O. Box 329, 4118 At, St.;Gold Coast;QLD;455148;China
NULL;RANCH;8;Lorem ipsum dolor;2015.01.01 4:40;2015.08.20 13:56;2015.09.20 21:26;2;1;tempus scelerisque, lorem;585 Feugiat. Avenue;South Portland;ME;1628;Guernsey
NULL;RATTC;4;Lorem;2015.04.06 21:50;2015.10.06 4:55;2015.07.17 10:01;3;24;Cras lorem;Ap #596-7549 Mattis Ave;Cambridge;Cambridgeshire;70514;Bulgaria
NULL;REGGC;5;Lorem ipsum dolor;2015.06.20 2:50;2015.08.16 8:21;2015.07.01 19:31;1;44;eleifend non,;Ap #387-1723 Donec Street;Vienna;Vienna;6614;Tajikistan
NULL;RICAR;8;Lorem ipsum dolor;2015.05.14 7:59;2015.08.16 19:28;2015.07.24 8:20;1;100;est, congue a, aliquet;P.O. Box 213, 8575 Nunc Rd.;Kapuskasing;ON;75225;Samoa
NULL;RICSU;9;Lorem ipsum dolor;2015.03.01 22:54;2015.07.31 15:44;2015.08.26 7:03;1;39;et magnis dis parturient montes,;8174 Vitae Ave;Dannevirke;North Island;27111;Pakistan
NULL;ROMEY;9;Lorem;2015.06.03 16:33;2015.07.09 18:21;2015.07.24 11:25;1;36;tellus;218 Sapien St.;Bollnäs;Gävleborgs län;463020;Luxembourg
NULL;SANTG;6;Lorem ipsum dolor;2015.03.06 9:14;2015.10.14 22:52;2015.08.31 19:16;3;29;molestie;P.O. Box 300, 8473 Nunc Ave;Limena;VEN;383360;Dominica
NULL;SAVEA;5;Lorem;2015.06.15 1:28;2015.07.17 10:26;2015.08.01 14:45;3;98;Donec elementum, lorem;P.O. Box 144, 4444 Enim. Rd.;Barddhaman;WB;20900;Sri Lanka
NULL;SEVES;7;Lorem ipsum;2015.02.06 21:07;2016.01.05 3:35;2015.08.23 11:08;3;6;feugiat non, lobortis quis,;5802 Nam Road;Pamplona;NA;77993;Aruba
NULL;SIMOB;7;Lorem;2015.03.21 4:55;2015.10.27 12:47;2015.07.15 14:14;2;58;Donec luctus aliquet odio. Etiam;P.O. Box 920, 5943 Tempor Av.;Valparaíso de Goiás;GO;179538;Kuwait
NULL;SPECD;8;Lorem ipsum;2015.03.02 11:40;2015.08.09 21:47;2015.09.22 22:18;2;99;Cras dolor dolor, tempus;Ap #784-9637 Ut Avenue;Jundiaí;São Paulo;13342;Cameroon
NULL;SPLIR;8;Lorem ipsum dolor;2015.06.15 15:10;2015.10.27 16:27;2015.08.21 11:26;1;33;iaculis odio. Nam interdum enim;P.O. Box 209, 9658 At, Ave;Gdynia;Pomorskie;40490;Sudan
NULL;SUPRD;6;Lorem;2015.04.21 5:52;2015.08.30 0:12;2015.09.14 8:41;1;52;Nunc ullamcorper, velit in aliquet;863-5418 Non, Street;Delft;Zuid Holland;84561-281;South Africa
NULL;THEBI;6;Lorem ipsum;2015.03.02 22:43;2016.01.16 2:56;2015.07.22 6:14;3;11;Proin nisl sem, consequat;Ap #278-1020 Dui Rd.;Auxerre;BO;30843;Morocco
NULL;THECR;2;Lorem ipsum dolor;2015.01.16 21:53;2015.12.11 21:28;2015.09.18 21:14;3;40;et, eros. Proin ultrices.;9422 Gravida Rd.;Houston;Texas;388214;Svalbard and Jan Mayen Islands
NULL;TOMSP;1;Lorem ipsum dolor;2015.06.03 2:29;2015.12.07 4:03;2015.09.10 8:09;2;46;sollicitudin orci;P.O. Box 884, 2015 Sociis Av.;Istanbul;Ist;1654;Armenia
NULL;TORTU;2;Lorem ipsum;2015.03.04 10:07;2015.10.17 16:11;2015.09.22 12:41;1;67;Nullam suscipit, est;Ap #664-6187 Nulla. Road;Galway;C;993253;Vanuatu
NULL;TRADH;2;Lorem ipsum dolor;2015.05.02 23:58;2015.10.03 18:40;2015.06.30 22:47;1;66;neque et nunc. Quisque ornare;P.O. Box 843, 989 Lorem, Av.;Salamanca;Coquimbo;66-330;Montenegro
NULL;TRAIH;3;Lorem;2015.06.23 19:49;2015.07.11 2:15;2015.07.28 11:32;3;12;vitae mauris sit amet;767-352 Nulla Av.;Berlin;Berlin;67084;Fiji
NULL;VAFFE;3;Lorem;2015.05.31 3:41;2015.12.22 9:09;2015.09.21 20:20;2;78;Vivamus sit amet risus.;P.O. Box 275, 1487 Non, Street;Kansas City;Missouri;490314;Nigeria
NULL;Val2 ;1;Lorem ipsum;2015.05.24 20:01;2015.10.10 10:51;2015.08.25 15:44;2;7;purus, in;Ap #963-7412 Ante, Rd.;Vienna;Wie;T8L 5Z6;Namibia
NULL;VALON;5;Lorem;2015.02.04 14:30;2015.10.26 16:47;2015.09.09 13:10;3;21;id,;684-7406 Donec Road;Okpoko;AN;6434;Korea, North
NULL;VICTE;8;Lorem;2015.03.31 14:15;2015.09.02 0:41;2015.09.01 12:59;2;45;enim diam vel arcu.;Ap #169-4543 Sapien. Av.;Los Angeles;CA;799287;Cook Islands
NULL;VINET;4;Lorem ipsum dolor;2015.06.07 7:05;2016.01.15 15:15;2015.07.05 16:41;1;69;mauris;Ap #341-1520 Facilisis Street;Funtua;Katsina;9223TR;Saint Martin
NULL;WANDK;5;Lorem ipsum;2015.06.01 22:42;2015.07.07 5:03;2015.07.21 13:12;2;15;Nulla facilisi.;P.O. Box 150, 1144 Vulputate, St.;Istanbul;Ist;71847;Saint Pierre and Miquelon
NULL;WARTH;4;Lorem ipsum;2015.03.05 20:27;2015.08.16 11:48;2015.08.16 4:01;3;45;rutrum, justo. Praesent;3509 Lacinia. Av.;Karapınar;Kon;6625;Honduras
NULL;WELLI;4;Lorem ipsum;2015.02.07 19:41;2015.11.04 10:18;2015.09.16 19:10;2;96;nec;803-3382 Libero Rd.;Indore;MP;41181;Bulgaria
NULL;WHITC;7;Lorem;2015.01.23 6:57;2015.06.30 5:16;2015.08.03 9:17;3;71;ullamcorper, velit in;397-9427 Lorem. Ave;Chiari;LOM;66888;Svalbard and Jan Mayen Islands
NULL;WILMK;4;Lorem ipsum dolor;2015.02.15 3:49;2015.09.07 0:20;2015.08.12 17:16;1;1;eget metus. In nec;2519 Vulputate, Rd.;Charny;QC;DI90 2AY;Curaçao
NULL;WOLZA;2;Lorem;2015.06.16 2:09;2016.01.21 16:59;2015.08.26 15:15;3;10;imperdiet nec, leo. Morbi neque;154-6279 Vivamus Avenue;Elsene;BU;6968JB;Bouvet Island
NULL;HILAA;6;Lorem ipsum dolor;2015.04.06 5:47;2015.09.13 23:27;2015.09.24 16:26;3;51;Mauris molestie pharetra nibh. Aliquam;475-709 Molestie St.;Swan;WA;979381;Tonga
NULL;HUNGC;5;Lorem ipsum dolor;2015.01.19 15:32;2015.10.31 1:14;2015.07.27 9:54;1;21;"ultrices posuere cubilia Curae;";158-7142 Pharetra. St.;Montreuil;IL;2183;France
NULL;HUNGO;1;Lorem ipsum;2015.05.10 16:50;2015.09.03 2:39;2015.09.07 1:19;1;4;libero dui nec;Ap #554-7909 Sit St.;Isla de Pascua;Valparaíso;39806;Heard Island and Mcdonald Islands
NULL;ISLAT;4;Lorem ipsum;2015.03.25 16:55;2016.01.08 1:26;2015.09.21 12:56;3;2;odio;105-8151 Ullamcorper, St.;Montebello;QC;39583;Libya
NULL;KOENE;9;Lorem ipsum dolor;2015.05.27 19:18;2015.09.30 20:11;2015.08.27 12:58;2;11;metus vitae;P.O. Box 415, 5876 Id, Rd.;Detroit;Michigan;10512;Denmark
NULL;LACOR;5;Lorem ipsum;2015.04.20 8:56;2015.10.15 10:33;2015.09.21 13:03;2;82;nunc sit amet metus.;P.O. Box 976, 7608 Id Road;Mauá;São Paulo;2994;Kyrgyzstan
NULL;WELLI;3;Lorem;2015.02.02 21:33;2015.12.21 1:25;2015.08.01 5:53;3;7;ipsum;Ap #752-9803 In Street;St. Neots;HU;97-301;Sri Lanka
